time,ic_change_rate,ent_change_rate,std_change_rate
20-40,0.2486129651616603,0.3139816538002768,0.3745912095341167
40-60,0.1676068418154167,0.14877442428929658,0.20870549470865918
60-80,0.1287816723213543,0.09415775882246222,0.14679389883496527
80-100,0.10168810531454946,0.06693406393172013,0.11232457578299807
100-120,0.04851108348173986,0.051514268218345864,0.09199572925771402
120-140,0.08325993083840023,0.041711002336867364,0.07866874232109067
140-160,0.08028204318432579,0.03454394799964146,0.06747276511769237
160-180,0.06511951755738458,0.02966461610638436,0.05930998331204758
180-200,0.06192204694072413,0.025828179962509253,0.052490776990227805
